日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
ガンバリのいし,Grit Pebble,Pierre Effort,Leistungsstein,Pietra impegno,Piedra Esfuerzo,노력의돌,奋斗石,奮鬥石
ガンバリのいわ,Grit Rock,Rocher Effort,Leistungsfels,Roccia impegno,Roca Esfuerzo,노력의바위,奋斗岩,奮鬥岩
かいでんのタネ,Seed of Mastery,Graine Maîtrise,Meistersamen,Seme padronanza,Semilla Dominio,숙달의씨,精通种子,精通種子
みがわりおまもり1,Tempting Charm R,Remplamulette 1,Wahrungstalisman 1,Amuleto Sostituto 1,Amuleto Sustituto 1,대타부적1,替身护符1,替身護符1
みがわりおまもり2,Tempting Charm B,Remplamulette 2,Wahrungstalisman 2,Amuleto Sostituto 2,Amuleto Sustituto 2,대타부적2,替身护符2,替身護符2
みがわりおまもり3,Tempting Charm P,Remplamulette 3,Wahrungstalisman 3,Amuleto Sostituto 3,Amuleto Sustituto 3,대타부적3,替身护符3,替身護符3
みがわりおまもり4,Tempting Charm T,Remplamulette 4,Wahrungstalisman 4,Amuleto Sostituto 4,Amuleto Sustituto 4,대타부적4,替身护符4,替身護符4
みがわりおまもり5,Tempting Charm Y,Remplamulette 5,Wahrungstalisman 5,Amuleto Sostituto 5,Amuleto Sustituto 5,대타부적5,替身护符5,替身護符5
あんぜんおまもり1,Survival Charm R,Enduramulette 1,Schutztalisman 1,Amuleto tutela 1,Amuleto Protector 1,안전부적1,安全护符1,安全護符1
あんぜんおまもり2,Survival Charm B,Enduramulette 2,Schutztalisman 2,Amuleto tutela 2,Amuleto Protector 2,안전부적2,安全护符2,安全護符2
あんぜんおまもり3,Survival Charm P,Enduramulette 3,Schutztalisman 3,Amuleto tutela 3,Amuleto Protector 3,안전부적3,安全护符3,安全護符3
あんぜんおまもり4,Survival Charm T,Enduramulette 4,Schutztalisman 4,Amuleto tutela 4,Amuleto Protector 4,안전부적4,安全护符4,安全護符4
あんぜんおまもり5,Survival Charm Y,Enduramulette 5,Schutztalisman 5,Amuleto tutela 5,Amuleto Protector 5,안전부적5,安全护符5,安全護符5
けんこうおまもり1,Warding Charm R,Zenamulette 1,Statustalisman 1,Amuleto salute 1,Amuleto Salud 1,건강부적1,健康护符1,健康護符1
けんこうおまもり2,Warding Charm B,Zenamulette 2,Statustalisman 2,Amuleto salute 2,Amuleto Salud 2,건강부적2,健康护符2,健康護符2
けんこうおまもり3,Warding Charm P,Zenamulette 3,Statustalisman 3,Amuleto salute 3,Amuleto Salud 3,건강부적3,健康护符3,健康護符3
けんこうおまもり4,Warding Charm T,Zenamulette 4,Statustalisman 4,Amuleto salute 4,Amuleto Salud 4,건강부적4,健康护符4,健康護符4
けんこうおまもり5,Warding Charm Y,Zenamulette 5,Statustalisman 5,Amuleto salute 5,Amuleto Salud 5,건강부적5,健康护符5,健康護符5
かしらのしるし,Leader's Crest,Emblème du Général,Anführersymbol,Simbolo del capo,Distintivo de Líder,대장의징표,头领凭证,頭領憑證
テラピースノーマル,Normal Tera Shard,Téra-Éclat Normal,Tera-Stück (Normal),Teralite Normale,Teralito Normal,테라피스 노말,一般太晶碎块,一般太晶碎塊
テラピースほのお,Fire Tera Shard,Téra-Éclat Feu,Tera-Stück (Feuer),Teralite Fuoco,Teralito Fuego,테라피스 불꽃,火太晶碎块,火太晶碎塊
テラピースみず,Water Tera Shard,Téra-Éclat Eau,Tera-Stück (Wasser),Teralite Acqua,Teralito Agua,테라피스 물,水太晶碎块,水太晶碎塊
テラピースくさ,Grass Tera Shard,Téra-Éclat Plante,Tera-Stück (Pflanze),Teralite Erba,Teralito Planta,테라피스 풀,草太晶碎块,草太晶碎塊
テラピースでんき,Electric Tera Shard,Téra-Éclat Électrik,Tera-Stück (Elektro),Teralite Elettro,Teralito Eléctrico,테라피스 전기,电太晶碎块,電太晶碎塊
テラピースこおり,Ice Tera Shard,Téra-Éclat Glace,Tera-Stück (Eis),Teralite Ghiaccio,Teralito Hielo,테라피스 얼음,冰太晶碎块,冰太晶碎塊
テラピースかくとう,Fighting Tera Shard,Téra-Éclat Combat,Tera-Stück (Kampf),Teralite Lotta,Teralito Lucha,테라피스 격투,格斗太晶碎块,格鬥太晶碎塊
テラピースどく,Poison Tera Shard,Téra-Éclat Poison,Tera-Stück (Gift),Teralite Veleno,Teralito Veneno,테라피스 독,毒太晶碎块,毒太晶碎塊
テラピースじめん,Ground Tera Shard,Téra-Éclat Sol,Tera-Stück (Boden),Teralite Terra,Teralito Tierra,테라피스 땅,地面太晶碎块,地面太晶碎塊
テラピースひこう,Flying Tera Shard,Téra-Éclat Vol,Tera-Stück (Flug),Teralite Volante,Teralito Volador,테라피스 비행,飞行太晶碎块,飛行太晶碎塊
テラピースエスパー,Psychic Tera Shard,Téra-Éclat Psy,Tera-Stück (Psycho),Teralite Psico,Teralito Psíquico,테라피스 에스퍼,超能力太晶碎块,超能力太晶碎塊
テラピースむし,Bug Tera Shard,Téra-Éclat Insecte,Tera-Stück (Käfer),Teralite Coleottero,Teralito Bicho,테라피스 벌레,虫太晶碎块,蟲太晶碎塊
テラピースいわ,Rock Tera Shard,Téra-Éclat Roche,Tera-Stück (Gestein),Teralite Roccia,Teralito Roca,테라피스 바위,岩石太晶碎块,岩石太晶碎塊
テラピースゴースト,Ghost Tera Shard,Téra-Éclat Spectre,Tera-Stück (Geist),Teralite Spettro,Teralito Fantasma,테라피스 고스트,幽灵太晶碎块,幽靈太晶碎塊
テラピースドラゴン,Dragon Tera Shard,Téra-Éclat Dragon,Tera-Stück (Drache),Teralite Drago,Teralito Dragón,테라피스 드래곤,龙太晶碎块,龍太晶碎塊
テラピースあく,Dark Tera Shard,Téra-Éclat Ténèbres,Tera-Stück (Unlicht),Teralite Buio,Teralito Siniestro,테라피스 악,恶太晶碎块,惡太晶碎塊
テラピースはがね,Steel Tera Shard,Téra-Éclat Acier,Tera-Stück (Stahl),Teralite Acciaio,Teralito Acero,테라피스 강철,钢太晶碎块,鋼太晶碎塊
テラピースフェアリー,Fairy Tera Shard,Téra-Éclat Fée,Tera-Stück (Fee),Teralite Folletto,Teralito Hada,테라피스 페어리,妖精太晶碎块,妖精太晶碎塊
テラピースステラ,Stellar Tera Shard,Téra-Éclat Stellaire,Tera-Stück (Stellar),Teralite Astrale,Teralito Astral,테라피스 스텔라,星晶太晶碎块,星晶太晶碎塊
たいりょくのもち,Health Mochi,Mochi Santé,Heil-Mochi,Mochi della salute,Mochi Vigor,체력떡,体力粘糕,體力糬
きんりょくのもち,Muscle Mochi,Mochi Force,Kraft-Mochi,Mochi della potenza,Mochi Músculo,근력떡,肌力粘糕,肌力糬
ていこうのもち,Resist Mochi,Mochi Armure,Abwehr-Mochi,Mochi della tutela,Mochi Aguante,저항력떡,抵抗粘糕,抵抗糬
ちりょくのもち,Genius Mochi,Mochi Esprit,Genie-Mochi,Mochi dell'ingegno,Mochi Intelecto,지력떡,智力粘糕,智力糬
せいしんのもち,Clever Mochi,Mochi Mental,Esprit-Mochi,Mochi dell'intuito,Mochi Mente,정신력떡,精神粘糕,精神糬
しゅんぱつのもち,Swift Mochi,Mochi Sprint,Flink-Mochi,Mochi della reazione,Mochi Ímpetu,순발력떡,瞬发粘糕,瞬發糬
まっさらもち,Fresh-Start Mochi,Mochi Renouveau,Neuanfangs-Mochi,Mochi del ripristino,Mochis Reinicio,순백떡,净空粘糕,淨空糬
メガカケラ,Mega Shard,Méga-Fragment,Mega-Splitter,Megaframmento,Megaesquirla（スペイン）Megafragmento（ラテンアメリカ）,메가조각,超级碎片,超級碎片
カラフルなネジ,Colorful Screw,Vis Colorée,Bunte Schraube,Vite colorata,Tornillo Colorido,컬러풀한나사,彩色螺丝,彩色螺絲
