日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
カタストロフィ,Ruination,Cataclysme,Verderben,Catastrofe,Calamidad,카타스트로피,大灾难,大災難
きまぐレーザー,Fickle Beam,Laser Hasard,Launenlaser,Irregolaser,Láser Veleidoso,변덕레이저,随机光,隨機光
きょけんとつげき,Glaive Rush,Charge Glaive,Großklingenstoß,Spadoncarica,Asalto Espadón,대검돌격,巨剑突击,巨劍突擊
キラースピン,Mortal Spin,Toupie Éclat,Letalwirbler,Glitturbine,Giro Mortífero,킬러스핀,晶光转转,晶光轉轉
くさわけ,Trailblaze,Désherbaffe,Wegbereiter,Apripista,Abrecaminos,개척하기,起草,起草
ゴールドラッシュ,Make It Rain,Ruée d'Or,Goldrausch,Corsa all'Oro,Fiebre Dorada,골드러시,淘金潮,淘金潮
さいきのいのり,Revival Blessing,Second Souffle,Vitalsegen,Preghiera Vitale,Plegaria Vital,회생의기도,复生祈祷,復生祈禱
サイコノイズ,Psychic Noise,Dissonance Psy,Psycholärm,Psicorumore,Psicorruido,사이코노이즈,精神噪音,精神噪音
サイコブレイド,Psyblade,Lame Psychique,Psychoschneide,Psicolama,Psicohojas,사이코블레이드,精神剑,精神劍
さむいギャグ,Chilly Reception,Neigeux de Mots,Eisige Stimmung,Freddura,Fría Acogida,썰렁개그,冷笑话,冷笑話
サンダーダイブ,Supercell Slam,Volt Assaut,Donnerstoß,Elettrotuffo,Plancha Voltaica,썬더다이브,闪电强袭,閃電強襲
ジェットパンチ,Jet Punch,Poing Sonique,Düsenhieb,Pugnojet,Puño Jet,제트펀치,喷射拳,噴射拳
しおづけ,Salt Cure,Salaison,Pökelsalz,Sotto Sale,Salazón,소금절이,盐腌,鹽醃
しっぽきり,Shed Tail,Queulonage,Schwanzabwurf,Tagliacoda,Autotomía,꼬리자르기,断尾,斷尾
シャカシャカほう,Matcha Gotcha,Mortier Matcha,Quirlschuss,Spruzzatè,Cañón Batidor,휘적휘적포,刷刷茶炮,刷刷茶炮
じゃどくのくさり,Malignant Chain,Chaîne Malsaine,Giftkettung,Intossicatena,Cadena Virulenta,악독사슬,邪毒锁链,邪毒鎖鏈
じんらい,Thunderclap,Vif Éclair,Sturmblitz,Saetta,Relámpago Súbito,질풍신뢰,迅雷,迅雷
スレッドトラップ,Silk Trap,Piège de Fil,Fadenfalle,Telatrappola,Telatrampa,스레드트랩,线阱,線阱
タキオンカッター,Tachyon Cutter,Lame Tachyonique,Tachyon-Schnitt,Tachiontaglio,Tajo Taquión,타키온커터,迅子利刃,迅子利刃
ツインビーム,Twin Beam,Double Laser,Doppelstrahl,Doppioraggio,Láser Doble,트윈빔,双光束,雙光束
ツタこんぼう,Ivy Cudgel,Massue Liane,Rankenkeule,Clava di Liane,Garrote Liana,덩굴방망이,棘藤棒,棘藤棒
デカハンマー,Gigaton Hammer,Marteau Mastoc,Riesenhammer,Granmartello,Martillo Colosal,거대해머,巨力锤,巨力錘
テラクラスター,Tera Starstorm,Pluie Térastrale,Tera-Sternhagel,Teracluster,Teraclúster,테라클러스터,晶光星群,晶光星群
テラバースト,Tera Blast,Téra Explosion,Tera-Ausbruch,Terascoppio,Teraexplosión,테라버스트,太晶爆发,太晶爆發
でんこうそうげき,Double Shock,Double Décharge,Zweifachladung,Doppiolampo,Electropalmas,전광쌍격,电光双击,電光雙擊
ドゲザン,Kowtow Cleave,Génusection,Kniefallspalter,Genufendente,Genufendiente,도각참,仆刀,仆斬
とびつく,Pounce,Bond,Anspringen,Balzo,Brinco,달려들기,虫扑,蟲撲
ドラゴンエール,Dragon Cheer,Cri Draconique,Drachenschrei,Grido del Drago,Bramido Dragón,드래곤옐,龙声鼓舞,龍聲鼓舞
トリックフラワー,Flower Trick,Magie Florale,Blumentrick,Prestigiafiore,Truco Floral,트릭플라워,千变万花,千變萬花
トリプルダイブ,Triple Dive,Triple Plongeon,Tauchtriade,Triplo Tuffo,Triple Inmersión,트리플다이브,三连钻,三連鑽
ネズミざん,Population Bomb,Prolifération,Mäuseplage,Infestazione,Proliferación,찍찍베기,鼠数儿,鼠數兒
ハードプレス,Hard Press,Pression Extrême,Stahlpresse,Pressa d'Acciaio,Prensa Metálica,하드프레스,硬压,硬壓
ハイドロスチーム,Hydro Steam,Hydrovapeur,Hydrodampf,Idrovapore,Hidrovapor,하이드로스팀,水蒸气,水蒸氣
ハイパードリル,Hyper Drill,Hyperceuse,Hyperbohrer,Ipertrapano,Hipertaladro,하이퍼드릴,强力钻,強力鑽
ハバネロエキス,Spicy Extract,Habanerage,Chili-Essenz,Essenza Piccante,Extracto Picante,하바네로엑기스,辣椒精华,辣椒精華
はやてがえし,Upper Hand,Prio-Parade,Schnellkonter,Colpo di Mano,Palma Rauda,기선제압,快手还击,快手還擊
パワフルエッジ,Mighty Cleave,Lame Puissante,Wuchtklinge,Taglio Poderoso,Filo Potente,파워풀에지,强刃攻击,強刃攻擊
ひやみず,Chilling Water,Douche Froide,Kalte Dusche,Doccia Fredda,Agua Fría,찬물끼얹기,泼冷水,潑冷水
ブラッドムーン,Blood Moon,Lune Rouge,Blutmond,Luna Rossa,Luna Roja,블러드문,血月,血月
フレアソング,Torch Song,Chant Flamboyant,Loderlied,Canzone Ardente,Canto Ardiente,플레어송,闪焰高歌,閃焰高歌
ふんどのこぶし,Rage Fist,Poing de Colère,Zornesfaust,Pugno Furibondo,Puño Furia,분노의주먹,愤怒之拳,憤怒之拳
ホイールスピン,Spin Out,Dérapage,Reifendrehung,Slittaruote,Quemarrueda,휠스핀,疾速转轮,疾速轉輪
ほうふく,Comeuppance,Vindicte,Vendetta,Ritorsione,Resarcimiento,앙갚음,复仇,復仇
みずあめボム,Syrup Bomb,Bombe au Sirop,Sirupbombe,Bomba Sciroppata,Bomba Caramelo,시럽봄,糖浆炸弹,糖漿炸彈
みわくのボイス,Alluring Voice,Voix Envoûtante,Lockstimme,Ammaliavoce,Canto Encantador,매혹의보이스,魅诱之声,魅誘之聲
みをけずる,Fillet Away,Décharnement,Abspaltung,Alleggerimento,Deslome,제살깎기,甩肉,甩肉
むねんのつるぎ,Bitter Blade,Lame en Peine,Reueschwert,Lama del Rimorso,Espada Lamento,원념의칼,悔念剑,悔念劍
やけっぱち,Temper Flare,Indignition,Frustflamme,Rabbia Bruciante,Cólera Ardiente,열불내기,豁出去,豁出去
ゆきげしき,Snowscape,Chute de Neige,Schneelandschaft,Vista Innevata,Paisaje Nevado,설경,雪景,雪景
ルミナコリジョン,Lumina Crash,Lumino-Impact,Lichteinschlag,Fotocollisione,Fotocolisión,루미나콜리전,琉光冲激,琉光衝激
レイジングブル,Raging Bull,Taurogne,Rasender Stier,Scatenatoro,Furia Taurina,레이징불,怒牛,怒牛
ダークアクセル,Wicked Torque,Crash Obscur,Finsterturbo,Turbotenebra,Ominochoque,다크액셀,黑暗暴冲,黑暗暴衝
バーンアクセル,Blazing Torque,Crash Brûlant,Hitzeturbo,Turboustione,Pirochoque,번액셀,灼热暴冲,灼熱暴衝
ポイズンアクセル,Noxious Torque,Crash Toxique,Toxiturbo,Turbotossina,Ponzochoque,포이즌액셀,剧毒暴冲,劇毒暴衝
マジカルアクセル,Magical Torque,Crash Magique,Zauberturbo,Turboincanto,Feerichoque,매지컬액셀,魔法暴冲,魔法暴衝
ファイトアクセル,Combat Torque,Crash Musclé,Raufturbo,Turborissa,Pugnachoque,파이트액셀,格斗暴冲,格鬥暴衝
無に帰す光,Nihil Light,Lux Nihilum,Tilgungslicht,Tabula Laser,Luz Devastadora,니힐레이저,归无之光,歸無之光
